#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Column Form	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Combat Instinct	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1 insight bonus on Initiative check and AC.|CombatInstinctAC				DEFINE:CombatInstinctAC|0			BONUS:COMBAT|AC|CombatInstinctAC|TYPE=Insight	BONUS:COMBAT|INITIATIVE|CombatInstinctAC																				SOURCEPAGE:PH										
Combat Telegraphy	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Combative Mount	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy																												SOURCEPAGE:MM2										
Combination Strike	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PH										
Combine Song	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Command (Greater/Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Command, Greater (Sp)				DEFINE:GreaterCommandPerDay|0	DEFINE:GreaterCommandLVL|0										SPELLS:Innate|TIMES=GreaterCommandPerDay|CASTERLEVEL=GreaterCommandLVL|Command (Greater),15+CHA													SOURCEPAGE:BoVD										
Command (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:CommandPerDay|0	DEFINE:CommandLVL|0										SPELLS:Innate|TIMES=CommandPerDay|CASTERLEVEL=CommandLVL|Command,11+CHA													SOURCEPAGE:BoVD										
Command Beholder	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:LoM										
Command Fiendish Hound	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Command Genie	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Drac										
Command Ooze (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:Will DC %1|CommandOozeDC				DEFINE:CommandOozeDC|10+(HD/2)+CHA																								SOURCEPAGE:FFo										
Command Reptiles	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:SS										
Command the Horde	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Command Vermin	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM3										
Command Yuan-Ti	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:SS										
Commune with Dragon Spirit (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PHB2										
Commune with Nature (Sp once month)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/month|CommuneWithNaturePerMonth				DEFINE:CommuneWithNaturePerMonth|0																								SOURCEPAGE:Drac										
Commune with Nature (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CommuneWithNaturePerDay|0	DEFINE:CommuneWithNatureLVL|0										SPELLS:Innate|TIMES=CommuneWithNaturePerDay|CASTERLEVEL=CommuneWithNatureLVL|Commune with Nature,14+CHA													SOURCEPAGE:MM2										
Communion	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:cost 10 px																												SOURCEPAGE:PGtF										
Compelling Conversationalist	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|CompellingConversationalistTimes				DEFINE:CompellingConversationalistTimes|0	DEFINE:CompellingConversationalistLVL|0	DEFINE:CompellingInspireDurationBase|0																						SOURCEPAGE:RLCoD										
Composite Plating	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality.ModifyAC	VISIBLE:YES	DESC:Cannot wear armors or robes.															AUTO:ARMORPROF|ARMORTYPE=CompositePlating													SOURCEPAGE:MM3										
Comprehend Languages (Sp at will)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ComprehendLanguagesLVL|0											SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=ComprehendLanguagesLVL|Comprehend Languages													SOURCEPAGE:Drac										
Confer Negative Level	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LM										
Confidant	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:RLCoD										
Confidence Artist	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:DD										
Confidence of the Fated	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day (+%2 to attack roll, weapon damage roll, saving throw or skill check)|ConfidenceOfTheFatedPerDay|ConfidenceOfTheFatedBonus				DEFINE:ConfidenceOfTheFatedPerDay|0	DEFINE:ConfidenceOfTheFatedBonus|0																							SOURCEPAGE:PH										
Confined area advantage	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Near walls (+2AC)																												SOURCEPAGE:CAd										
Confusing Dance	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|ConfusingDancePerDay|ConfusingDanceDC				DEFINE:ConfusingDancePerDay|0	DEFINE:ConfusingDanceDC|10+CHA																							SOURCEPAGE:MoF										
Confusion	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:Nep										
Confusion (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|ConfusionPerDay|ConfusionDC				DEFINE:ConfusionPerDay|0	DEFINE:ConfusionDC|10+INT										SPELLS:Innate|TIMES=ConfusionPerDay|CASTERLEVEL=ConfusionLVL|Confusion,13+INT													SOURCEPAGE:PGtF										
Confusion (Sp/6 round)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:once every 1d6					DEFINE:ConfusionLVL|0										SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=ConfusionLVL|Confusion,14+CHA													SOURCEPAGE:Mon										
Confusion (Sp/CHA/at will)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES						DEFINE:ConfusionLVL|0										SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=ConfusionLVL|Confusion,14+CHA													SOURCEPAGE:Mon										
Congenital Blindness	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Consecrated Casting	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+2 caster level check and +2 CD against evil outsiders																												SOURCEPAGE:CW										
Consecrated Presence	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality.Aura	VISIBLE:YES																													SOURCEPAGE:CD										
Constant Piercing Cold	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.Metamagic	VISIBLE:YES			SERVESAS:ABILITY=FEAT|Piercing Cold													ADDSPELLLEVEL:0													SOURCEPAGE:Fro										
Constitution Drain ~ Gravecrawler	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d2 Con drain (Fort DC %1)|GravecrawlerConstitutionDrainDC	OUTPUTNAME:Constitution Drain	SERVESAS:ABILITY=Special Ability|Constitution Drain		DEFINE:GravecrawlerConstitutionDrainDC|10+(HD/2)+CHA				BONUS:VAR|GravecrawlerConstitutionDrainDC|2|PREFEAT:1,Ability Focus(Constitution Drain)																				SOURCEPAGE:SS										
Constitution Drain ~ Icegaunt	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Con drain (Fort DC %1)|IcegauntConstitutionDrainDC	OUTPUTNAME:Constitution Drain	SERVESAS:ABILITY=Special Ability|Constitution Drain		DEFINE:IcegauntConstitutionDrainDC|10+(HD/2)+CHA				BONUS:VAR|IcegauntConstitutionDrainDC|2|PREFEAT:1,Ability Focus(Constitution Drain)																				SOURCEPAGE:Fro										
Constitution Drain ~ Wraith	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:permanent 1d6 Con drain (Fort DC %1)|WraithConstitutionDrainDC	OUTPUTNAME:Constitution Drain	SERVESAS:ABILITY=Special Ability|Constitution Drain		DEFINE:WraithConstitutionDrainDC|10+(HD/2)+CHA				BONUS:VAR|WraithConstitutionDrainDC|2|PREFEAT:1,Ability Focus(Constitution Drain)																				SOURCEPAGE:EXD										
Constrict Ship	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Consume	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:FFo										
Consume Identity	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Consuming Radiance	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Fort DC %2)|ConsumingRadiancePerDay|ConsumingRadianceDC				DEFINE:ConsumingRadiancePerDay|0	DEFINE:ConsumingRadianceDC|10+CHA+(HD/2)																							SOURCEPAGE:MM2										
Contagion (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ContagionPerDay|0	DEFINE:ContagionLVL|0										SPELLS:Innate|TIMES=ContagionPerDay|CASTERLEVEL=ContagionLVL|Contagion,13+CHA													SOURCEPAGE:Drac										
Contagion (Sp/WIS)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ContagionPerDay|0	DEFINE:ContagionLVL|0										SPELLS:Innate|TIMES=ContagionPerDay|CASTERLEVEL=ContagionLVL|Contagion,13+WIS													SOURCEPAGE:BoVD										
Contagious Touch	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day|ContagiousTouchTimes					DEFINE:ContagiousTouchTimes|0																							SOURCEPAGE:CD										
Contingent Healing	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:You regain %1 hit points per round when near living creatures.|ContingentHealing				DEFINE:ContingentHealing|0																								SOURCEPAGE:LM										
Control Flames (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ControlFlamesPerDay|0	DEFINE:ControlFlamesLVL|0										SPELLS:Innate|TIMES=ControlFlamesPerDay|CASTERLEVEL=ControlFlamesLVL|Control Flames,10+CHA													SOURCEPAGE:Mon										
Control Host	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.AbilityFocus	VISIBLE:YES	DESC:Will DC %|ControlHostDC				DEFINE:ControlHostDC|10+CHA+(HD/2)				BONUS:VAR|ControlHostDC|2|PREFEAT:1,Ability Focus(Control Host)																				SOURCEPAGE:FRCS										
Control Light (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FRCS										
Control Rage (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialAttack	VISIBLE:YES	DESC:as per Rage spell (Will DC %1)|ControlRageDC				DEFINE:ControlRageDC|10+(HD/2)+CHA																								SOURCEPAGE:MM3										
Control Sphere	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Control Undead (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Control Water (Sp)	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:ControlWaterPerDay|0	DEFINE:ControlWaterLVL|0										SPELLS:Innate|TIMES=ControlWaterPerDay|CASTERLEVEL=ControlWaterLVL|Control Water,16+CHA													SOURCEPAGE:Fro										
Control Winds	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES		SPELLS:Control Winds|TIMES=1|CASTERLEVEL=classlevel("Navigator Wizard")|Control Winds																											SOURCEPAGE:SoB										
Conversion	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:EXD										
Cooperation	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LM										
Cooperative Dance	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MoF										
Cooperative Metamagic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day. Spellcraft DC 18 + ( 3 x modified spell level)|CooperativeMetamagicPerDay				DEFINE:CooperativeMetamagicPerDay|3+INT																								SOURCEPAGE:PGtF										
Coral Skin	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality.ModifyAC	VISIBLE:YES	DESC:+%1 natural AC				DEFINE:CoralSkinBonus|0			BONUS:COMBAT|AC|CoralSkinBonus|TYPE=NaturalArmor																					SOURCEPAGE:Ssh										
Corckscrew Rush	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:CW										
Corellon's Perception	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES									BONUS:SKILL|Listen,Search,Spot|5|TYPE=Racial																				SOURCEPAGE:CD										
Corporeal Graft	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MoF										
Corporeal Manipulation	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Corpsetheft	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Corrosive Spew	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:%1' Spit %2d%3 Acid Ref DC %4|CorrosiveSpewLine|CorrosiveSpewDice|CorrosiveSpewDamageDie|CorrosiveSpewDC				DEFINE:CorrosiveSpewLine|0	DEFINE:CorrosiveSpewDice|0	DEFINE:CorrosiveSpewDamageDie|6	DEFINE:CorrosiveSpewDC|10+CON																					SOURCEPAGE:BoVD										
Corrosive Touch	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:%1/day %2d6 damage|CorrosiveTouchPerDay|CorrosiveTouch				DEFINE:CorrosiveTouchPerDay|0	DEFINE:CorrosiveTouch|0																							SOURCEPAGE:BoVD										
Corrupting Presence	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:Fort DC %1|CorruptingPresenceDC				DEFINE:CorruptingPresenceDC|10+CON+(HD/2)				BONUS:VAR|CorruptingPresenceDC|2|PREFEAT:1,Ability Focus(Corrupting Presence)																				SOURCEPAGE:DD										
Cosmic Awarness	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MoF										
Cosmic Warper	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:doubles DV influenced by pattern subschool spells.																												SOURCEPAGE:Nep										
Couatl Wings	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 minutes/day|CouatlWingsDuration					DEFINE:CouatlWingsDuration|0																							SOURCEPAGE:CD										
Counter Grapple	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Counter Summoning	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PH										
Counterattack	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES	DESC:as full-round action, make only one melee attack at you highest base attack bonus. At any time before your next turn, you can use an immediate action to make a melee attack against an enemy that attaks you in melee.																												SOURCEPAGE:PHB2										
Coupled Intercession	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LM										
Courage of Heavens (enchantment)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:immunity to enchantment spells and effects cast by evil outsiders.																												SOURCEPAGE:CW										
Courage of Heavens (fear)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:immunity to fear of evil outsiders.																												SOURCEPAGE:CW										
Courage of Heavens (radius)	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:immunities granted extend to allies in 20' radius.																												SOURCEPAGE:CW										
Courtly Knowledge	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES					DEFINE:CourtlyKnowledgeBonus|0			BONUS:SKILL|Knowledge (Nobility and Royalty)|CourtlyKnowledgeBonus|TYPE=Competence																					SOURCEPAGE:CW										
Cover	CATEGORY:Special Ability	TYPE:SpecialQuality.ModifyAC	VISIBLE:YES	DESC:half cover (+4 AC, +2 Ref saves)																												SOURCEPAGE:Mon										
Cover Identity	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Craft Effigy	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Craft Harper Item	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Craft Herbal Mixtures	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:DISPLAY	ABILITY:Special Ability|VIRTUAL|Craft Herbal Mixtures Output|PREVARLT:CraftHerbalMixtures,5	ABILITY:Special Ability|VIRTUAL|Improved Potion Creation|PREMULT:2,[PREVARGTEQ:CraftHerbalMixtures,5],[PREVARLT:CraftHerbalMixtures,10]	ABILITY:Special Ability|VIRTUAL|Supreme Potion Creation|PREVARGTEQ:CraftHerbalMixtures,10	DEFINE:CraftHerbalMixtures|0																									SOURCEPAGE:DD										
Craft Herbal Mixtures Output	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:EXPORT	OUTPUTNAME:Craft Herbal Mixtures																												SOURCEPAGE:DD										
Craft Talisma	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:RLPHB										
Craft Talisman	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:RLCoD										
Crafty Fighter	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Create Food and Water	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Drac										
Create Greater Undead (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CreateGreaterUndeadPerDay|0	DEFINE:CreateGreaterUndeadLVL|0										SPELLS:Innate|TIMES=CreateGreaterUndeadPerDay|CASTERLEVEL=CreateGreaterUndeadLVL|Create Greater Undead,18+CHA													SOURCEPAGE:LM										
Create Puppet	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 puppet|PuppetNumber				DEFINE:PuppetNumber|0	DEFINE:PupLevel|0										FOLLOWERS:Puppet|PuppetNumber	COMPANIONLIST:Puppet|Burattino												SOURCEPAGE:Nep										
Create Shadows	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:%1/day|CreateShadowsPerDay				DEFINE:CreateShadowsPerDay|0																								SOURCEPAGE:Nep										
Create Undead (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:CreateUndeadPerDay|0	DEFINE:CreateUndeadLVL|0										SPELLS:Innate|TIMES=CreateUndeadPerDay|CASTERLEVEL=CreateUndeadLVL|Create Undead,16+CHA													SOURCEPAGE:LM										
Creative Fire	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES					DEFINE:CreativeFireBonus|0			BONUS:SKILL|TYPE.Craft,TYPE.Perform|CreativeFireBonus																					SOURCEPAGE:PGtF										
Creeping Doom (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:CreepingDoomPerDay|0	DEFINE:CreepingDoomLVL|0										SPELLS:Innate|TIMES=CreepingDoomPerDay|CASTERLEVEL=CreepingDoomLVL|Creeping Doom													SOURCEPAGE:SS										
